,census_code,label
63,B08119_020E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss"
64,B06004E_004E,Estimate!!Total:!!Native; born outside the United States
65,B07007PR_012E,Estimate!!Total:!!Moved within same municipio:!!Native
66,B07004H_004E,Estimate!!Total:!!Moved from different county within same state
67,B19001B_016E,"Estimate!!Total:!!$150,000 to $199,999"
68,B06004E_005E,Estimate!!Total:!!Foreign born
69,B07007PR_011E,Estimate!!Total:!!Moved within same municipio:
70,B07004H_003E,Estimate!!Total:!!Moved within same county
71,B19001B_015E,"Estimate!!Total:!!$125,000 to $149,999"
72,B08201_007E,Estimate!!Total:!!1-person household:
73,B16005F_010E,"Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English ""very well"""
74,B08119_025E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999"
75,B19037E_028E,"Estimate!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999"
76,B07202_005E,Estimate!!Total:!!Different house in United States 1 year ago:!!Same Micropolitan Statistical Area:!!Moved from principal city
77,B24042_022E,"Estimate!!Male:!!Educational services, and health care and social assistance:!!Health care and social assistance"
78,B20005_020E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$45,000 to $49,999"
79,B08201_008E,Estimate!!Total:!!1-person household:!!No vehicle available
80,B16005F_011E,"Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English less than ""very well"""
81,B19037E_027E,"Estimate!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999"
82,B08119_024E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999"
83,B24042_023E,"Estimate!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:"
84,B07202_004E,Estimate!!Total:!!Different house in United States 1 year ago:!!Same Micropolitan Statistical Area:
85,B26209_009E,Estimate!!Total:!!Group quarters population:
86,B08201_005E,Estimate!!Total:!!3 vehicles available
87,B08119_023E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999"
88,B24042_020E,"Estimate!!Male:!!Educational services, and health care and social assistance:"
89,B07202_007E,Estimate!!Total:!!Different house in United States 1 year ago:!!Different Micropolitan Statistical Area:
90,B08201_006E,Estimate!!Total:!!4 or more vehicles available
91,B26209_008E,Estimate!!Total:!!Abroad
92,B08119_022E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999"
93,B19037E_029E,"Estimate!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999"
94,B07202_006E,Estimate!!Total:!!Different house in United States 1 year ago:!!Same Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area
95,B24042_021E,"Estimate!!Male:!!Educational services, and health care and social assistance:!!Educational services"
96,B08201_003E,Estimate!!Total:!!1 vehicle available
97,B17022_017E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:"
98,B20005_024E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$75,000 to $99,999"
99,B07202_009E,Estimate!!Total:!!Different house in United States 1 year ago:!!Different Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area
100,B17022_018E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only"
101,B08119_029E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$1 to $9,999 or loss"
102,B08201_004E,Estimate!!Total:!!2 vehicles available
103,B20005_025E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$100,000 or more"
104,B07202_008E,Estimate!!Total:!!Different house in United States 1 year ago:!!Different Micropolitan Statistical Area:!!Moved from principal city
105,B08201_001E,Estimate!!Total:
106,B20005_021E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$50,000 to $54,999"
107,B17022_019E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years"
108,B08119_028E,Estimate!!Total:!!Public transportation (excluding taxicab):
109,B08119_027E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$75,000 or more"
110,B20005_022E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$55,000 to $64,999"
111,B08201_002E,Estimate!!Total:!!No vehicle available
112,B08119_026E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$65,000 to $74,999"
113,B20005_023E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$65,000 to $74,999"
114,B26209_003E,Estimate!!Total:!!Different address in the United States:
115,B17022_013E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years"
116,B24022_068E,"Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations"
117,B20005A_027E,Estimate!!Total:!!Male:!!Other:!!No earnings
118,B19037E_020E,"Estimate!!Total:!!Householder 25 to 44 years:!!Less than $10,000"
119,B17022_014E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only"
120,B26209_002E,Estimate!!Total:!!Same address
121,B24022_069E,"Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations"
122,B20005A_026E,Estimate!!Total:!!Male:!!Other:
123,B17022_015E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years"
124,B26209_001E,Estimate!!Total:
125,B24042_028E,Estimate!!Female:
126,B20005A_029E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$1 to $2,499 or loss"
127,B19037E_022E,"Estimate!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999"
128,B17022_016E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:"
129,B20005A_028E,Estimate!!Total:!!Male:!!Other:!!With earnings:
130,B24042_029E,"Estimate!!Female:!!Agriculture, forestry, fishing and hunting, and mining:"
131,B19037E_021E,"Estimate!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999"
132,B26209_007E,Estimate!!Total:!!Different address in the United States:!!Different county:!!Different state
133,B07202_001E,Estimate!!Total:
134,B24042_026E,"Estimate!!Male:!!Other services, except public administration"
135,B19037E_024E,"Estimate!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999"
136,B26209_006E,Estimate!!Total:!!Different address in the United States:!!Different county:!!Same state
137,B17022_010E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:"
138,B24042_027E,Estimate!!Male:!!Public administration
139,B19037E_023E,"Estimate!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999"
140,B17022_011E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:"
141,B26209_005E,Estimate!!Total:!!Different address in the United States:!!Different county:
142,B19037E_026E,"Estimate!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999"
143,B24042_024E,"Estimate!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
144,B07202_003E,Estimate!!Total:!!Different house in United States 1 year ago:
145,B26209_004E,Estimate!!Total:!!Different address in the United States:!!Same county
146,B17022_012E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only"
147,B19037E_025E,"Estimate!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999"
148,B24042_025E,"Estimate!!Male:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
149,B07202_002E,Estimate!!Total:!!Same house 1 year ago
150,B24022_072E,"Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Transportation occupations"
151,B19001B_002E,"Estimate!!Total:!!Less than $10,000"
152,B01001B_019E,Estimate!!Total:!!Female:!!5 to 9 years
153,B18140_004E,Estimate!!Total:!!With a disability:!!Female
154,B24022_073E,"Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Material moving occupations"
155,B19001B_001E,Estimate!!Total:
156,B18140_005E,Estimate!!Total:!!No disability:
157,B01001B_017E,Estimate!!Total:!!Female:
158,B07007PR_029E,Estimate!!Total:!!Moved from elsewhere:!!Foreign born:!!Naturalized U.S. citizen
159,B19125_001E,Estimate!!Total:
160,B18140_006E,Estimate!!Total:!!No disability:!!Male
161,B17022_020E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only"
162,B01001B_018E,Estimate!!Total:!!Female:!!Under 5 years
163,B07007PR_028E,Estimate!!Total:!!Moved from elsewhere:!!Foreign born:
164,B19125_002E,Estimate!!Total:!!With own children of the householder under 18 years
165,B18140_007E,Estimate!!Total:!!No disability:!!Female
166,B26209_023E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Different address in the United States:!!Different county:!!Different state
167,B01001B_015E,Estimate!!Total:!!Male:!!75 to 84 years
168,B19125_003E,Estimate!!Total:!!No own children of the householder under 18 years
169,B20005A_011E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$12,500 to $14,999"
170,B26209_022E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Different address in the United States:!!Different county:!!Same state
171,B01001B_016E,Estimate!!Total:!!Male:!!85 years and over
172,B26209_021E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Different address in the United States:!!Different county:
173,B20005A_010E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$10,000 to $12,499"
174,B21004_007E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Nonveteran:!!Female
175,B25027_016E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 65 to 74 years
176,B01001B_013E,Estimate!!Total:!!Male:!!55 to 64 years
177,B25027_015E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 60 to 64 years
178,B20005A_013E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$17,500 to $19,999"
179,B26209_020E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Different address in the United States:!!Same county
180,B25027_017E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 75 years and over
181,B01001B_014E,Estimate!!Total:!!Male:!!65 to 74 years
182,B20005A_012E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$15,000 to $17,499"
183,B07007PR_022E,Estimate!!Total:!!Moved from the United States:!!Native
184,B21004_005E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Nonveteran:
185,B01001B_010E,Estimate!!Total:!!Male:!!30 to 34 years
186,B25027_013E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 45 to 54 years
187,B07007PR_021E,Estimate!!Total:!!Moved from the United States:
188,B25041_007E,Estimate!!Total:!!5 or more bedrooms
189,B21004_006E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Nonveteran:!!Male
190,B01001B_011E,Estimate!!Total:!!Male:!!35 to 44 years
191,B19001B_009E,"Estimate!!Total:!!$40,000 to $44,999"
192,B01001B_012E,Estimate!!Total:!!Male:!!45 to 54 years
193,B25027_014E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 55 to 59 years
194,B07007PR_020E,Estimate!!Total:!!Moved from different municipio:!!Foreign born:!!Not a U.S. citizen
195,B25041_006E,Estimate!!Total:!!4 bedrooms
196,B21004_003E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Veteran:!!Male
197,B19001B_008E,"Estimate!!Total:!!$35,000 to $39,999"
198,B25027_011E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 15 to 34 years
199,B20005_038E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$22,500 to $24,999"
200,B25041_005E,Estimate!!Total:!!3 bedrooms
201,B21004_004E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Veteran:!!Female
202,B19001B_007E,"Estimate!!Total:!!$30,000 to $34,999"
203,B20005_039E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$25,000 to $29,999"
204,B25027_012E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 35 to 44 years
205,B07007PR_026E,Estimate!!Total:!!Moved from elsewhere:
206,B19001B_006E,"Estimate!!Total:!!$25,000 to $29,999"
207,B08119_033E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$35,000 to $49,999"
208,B07007PR_027E,Estimate!!Total:!!Moved from elsewhere:!!Native
209,B07007PR_025E,Estimate!!Total:!!Moved from the United States:!!Foreign born:!!Not a U.S. citizen
210,B21004_002E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Veteran:
211,B19001B_005E,"Estimate!!Total:!!$20,000 to $24,999"
212,B25027_010E,Estimate!!Total:!!Housing units without a mortgage:
213,B08119_032E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$25,000 to $34,999"
214,B21004_001E,Estimate!!Median income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:
215,B07007PR_024E,Estimate!!Total:!!Moved from the United States:!!Foreign born:!!Naturalized U.S. citizen
216,B24022_070E,"Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:"
217,B19001B_004E,"Estimate!!Total:!!$15,000 to $19,999"
218,B08119_031E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$15,000 to $24,999"
219,B24022_071E,"Estimate!!Total:!!Female:!!Production, transportation, and material moving occupations:!!Production occupations"
220,B07007PR_023E,Estimate!!Total:!!Moved from the United States:!!Foreign born:
221,B19001B_003E,"Estimate!!Total:!!$10,000 to $14,999"
222,B08119_030E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$10,000 to $14,999"
223,B20005_031E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$5,000 to $7,499"
224,B19037E_016E,"Estimate!!Total:!!Householder under 25 years:!!$125,000 to $149,999"
225,B08119_037E,Estimate!!Total:!!Walked:
226,B24121_095E,Estimate!!Total:!!Materials engineers
227,B24042_034E,Estimate!!Female:!!Wholesale trade
228,B20005_032E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$7,500 to $9,999"
229,B19037E_015E,"Estimate!!Total:!!Householder under 25 years:!!$100,000 to $124,999"
230,B08119_036E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$75,000 or more"
231,B20005_033E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$10,000 to $12,499"
232,B24121_094E,Estimate!!Total:!!Marine engineers and naval architects
233,B24042_035E,Estimate!!Female:!!Retail trade
234,B19037E_018E,"Estimate!!Total:!!Householder under 25 years:!!$200,000 or more"
235,B08119_035E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$65,000 to $74,999"
236,B24121_097E,"Estimate!!Total:!!Mining and geological engineers, including mining safety engineers"
237,B24042_032E,Estimate!!Female:!!Construction
238,B20005_030E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$2,500 to $4,999"
239,B08119_034E,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$50,000 to $64,999"
240,B19037E_017E,"Estimate!!Total:!!Householder under 25 years:!!$150,000 to $199,999"
241,B24042_033E,Estimate!!Female:!!Manufacturing
242,B24121_096E,Estimate!!Total:!!Mechanical engineers
243,B12006_003E,Estimate!!Total:!!Never married:!!Male:
244,B07007PR_030E,Estimate!!Total:!!Moved from elsewhere:!!Foreign born:!!Not a U.S. citizen
245,B17022_029E,Estimate!!Total:!!1.30 to 1.49:!!Other family:
246,B20005_036E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$17,500 to $19,999"
247,B24042_030E,"Estimate!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
248,B24121_099E,Estimate!!Total:!!Petroleum engineers
249,B12006_002E,Estimate!!Total:!!Never married:
250,B20005_037E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$20,000 to $22,499"
251,B19037E_019E,Estimate!!Total:!!Householder 25 to 44 years:
252,B24042_031E,"Estimate!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
253,B12006_001E,Estimate!!Total:
254,B24121_098E,Estimate!!Total:!!Nuclear engineers
255,B12006_005E,Estimate!!Total:!!Never married:!!Male:!!In labor force:!!Employed or in Armed Forces
256,B20005_034E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$12,500 to $14,999"
257,B12006_004E,Estimate!!Total:!!Never married:!!Male:!!In labor force:
258,B08119_039E,"Estimate!!Total:!!Walked:!!$10,000 to $14,999"
259,B08119_038E,"Estimate!!Total:!!Walked:!!$1 to $9,999 or loss"
260,B20005_035E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$15,000 to $17,499"
261,B26209_015E,Estimate!!Total:!!Group quarters population:!!Different address in the United States:!!Different county:!!Different state
262,B17022_025E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only
263,B20005A_015E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$22,500 to $24,999"
264,B17022_026E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years
265,B26209_014E,Estimate!!Total:!!Group quarters population:!!Different address in the United States:!!Different county:!!Same state
266,B20005A_014E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$20,000 to $22,499"
267,B26209_013E,Estimate!!Total:!!Group quarters population:!!Different address in the United States:!!Different county:
268,B17022_027E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only
269,B07202_011E,Estimate!!Total:!!Different house in United States 1 year ago:!!Metropolitan Statistical Area:!!Moved from principal city
270,B20005A_017E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$30,000 to $34,999"
271,B19037E_010E,"Estimate!!Total:!!Householder under 25 years:!!$40,000 to $44,999"
272,B26209_012E,Estimate!!Total:!!Group quarters population:!!Different address in the United States:!!Same county
273,B17022_028E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:!!No related children of the householder under 18 years
274,B07202_010E,Estimate!!Total:!!Different house in United States 1 year ago:!!Metropolitan Statistical Area:
275,B20005A_016E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$25,000 to $29,999"
276,B17022_021E,"Estimate!!Total:!!Under 1.30:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years"
277,B24121_091E,Estimate!!Total:!!Electrical and electronics engineers
278,B26209_019E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Different address in the United States:
279,B20005A_019E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$40,000 to $44,999"
280,B24042_038E,"Estimate!!Female:!!Transportation and warehousing, and utilities:!!Utilities"
281,B19037E_012E,"Estimate!!Total:!!Householder under 25 years:!!$50,000 to $59,999"
282,B07202_013E,Estimate!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago
283,B26209_018E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Same address
284,B17022_022E,Estimate!!Total:!!1.30 to 1.49:
285,B24121_090E,Estimate!!Total:!!Computer hardware engineers
286,B07202_012E,Estimate!!Total:!!Different house in United States 1 year ago:!!Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area
287,B24042_039E,Estimate!!Female:!!Information
288,B20005A_018E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$35,000 to $39,999"
289,B19037E_011E,"Estimate!!Total:!!Householder under 25 years:!!$45,000 to $49,999"
290,B26209_017E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:
291,B17022_023E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:
292,B19037E_014E,"Estimate!!Total:!!Householder under 25 years:!!$75,000 to $99,999"
293,B24042_036E,"Estimate!!Female:!!Transportation and warehousing, and utilities:"
294,B24121_093E,"Estimate!!Total:!!Industrial engineers, including health and safety"
295,B26209_016E,Estimate!!Total:!!Group quarters population:!!Abroad
296,B17022_024E,Estimate!!Total:!!1.30 to 1.49:!!Married-couple family:!!With related children of the householder under 18 years:
297,B24042_037E,"Estimate!!Female:!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
298,B19037E_013E,"Estimate!!Total:!!Householder under 25 years:!!$60,000 to $74,999"
299,B24121_092E,Estimate!!Total:!!Environmental engineers
300,B07202_014E,Estimate!!Total:!!Abroad 1 year ago
301,B24116_498E,Estimate!!Total:!!Laundry and dry-cleaning workers
302,B12002F_013E,Estimate!!Total:!!Female:!!Divorced
303,B25014H_002E,Estimate!!Total:!!1.00 or less occupants per room
304,B24116_497E,Estimate!!Total:!!Print binding and finishing workers
305,B24116_499E,"Estimate!!Total:!!Pressers, textile, garment, and related materials"
306,B12002F_012E,Estimate!!Total:!!Female:!!Widowed
307,B25061_009E,Estimate!!Total:!!$400 to $449
308,B25014H_003E,Estimate!!Total:!!1.01 or more occupants per room
309,BG,Geography
310,B25027_008E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 65 to 74 years
311,B24116_495E,Estimate!!Total:!!Prepress technicians and workers
312,B19037E_050E,"Estimate!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999"
313,CD,Geography
314,B25027_009E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 75 years and over
315,B24116_496E,Estimate!!Total:!!Printing press operators
316,B25027_006E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 55 to 59 years
317,B19037E_052E,"Estimate!!Total:!!Householder 45 to 64 years:!!$200,000 or more"
318,B24116_493E,"Estimate!!Total:!!Welding, soldering, and brazing workers"
319,B25027_007E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 60 to 64 years
320,B19037E_051E,"Estimate!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999"
321,B24116_494E,Estimate!!Total:!!Other metal workers and plastic workers
322,B12002F_011E,Estimate!!Total:!!Female:!!Separated
323,B25027_003E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 15 to 34 years
324,B24042_008E,Estimate!!Male:!!Retail trade
325,B20005A_001E,Estimate!!Total:
326,B24116_491E,"Estimate!!Total:!!Molders and molding machine setters, operators, and tenders, metal and plastic"
